feature,x,score
distance_to_nearest_major_city_km,146.77429332152894,-0.01943
distance_to_nearest_major_city_km,147.94326278568303,-0.01769
distance_to_nearest_major_city_km,148.84459709331173,-0.007
distance_to_nearest_major_city_km,149.10985914841268,0.00186
distance_to_nearest_major_city_km,150.16452298240694,0.00282
distance_to_nearest_major_city_km,152.01264717856674,0.0031
distance_to_nearest_major_city_km,153.24304285446766,0.00384
distance_to_nearest_major_city_km,155.19374556682578,0.00411
distance_to_nearest_major_city_km,156.10472687064836,0.00498
distance_to_nearest_major_city_km,157.93963688732003,0.00552
distance_to_nearest_major_city_km,159.85184531908249,0.00634
distance_to_nearest_major_city_km,162.0382971641571,0.00669
distance_to_nearest_major_city_km,163.17697447870228,0.00687
distance_to_nearest_major_city_km,165.48738537944553,0.00668
distance_to_nearest_major_city_km,166.94461310153554,0.00644
distance_to_nearest_major_city_km,170.22412181866258,0.00659
distance_to_nearest_major_city_km,172.81193219921397,0.00647
distance_to_nearest_major_city_km,175.56037566133682,0.00653
distance_to_nearest_major_city_km,178.5828027285849,0.0069
distance_to_nearest_major_city_km,179.3740864149227,0.00662
distance_to_nearest_major_city_km,180.475610722199,0.00666
distance_to_nearest_major_city_km,181.4143485439596,0.007
distance_to_nearest_major_city_km,182.03284182512994,0.00736
distance_to_nearest_major_city_km,184.48981764232013,0.00753
distance_to_nearest_major_city_km,188.42386176563383,0.00716
distance_to_nearest_major_city_km,191.4849965387044,0.00749
distance_to_nearest_major_city_km,193.02419070824595,0.00726
distance_to_nearest_major_city_km,194.24624931661805,0.00695
distance_to_nearest_major_city_km,195.03352149073382,0.00629
distance_to_nearest_major_city_km,195.45430968606775,0.00659
distance_to_nearest_major_city_km,196.0913534031854,0.0067
distance_to_nearest_major_city_km,196.91439963311268,0.00618
distance_to_nearest_major_city_km,199.32899148683572,0.00496
distance_to_nearest_major_city_km,200.98405710932244,0.00468
distance_to_nearest_major_city_km,202.44447733473382,-0.0033
distance_to_nearest_major_city_km,203.71944299698418,-0.00332
distance_to_nearest_major_city_km,205.619459841922,-0.01803
distance_to_nearest_major_city_km,208.20209227781652,-0.01835
distance_to_nearest_major_city_km,209.5266588072487,-0.01993
distance_to_nearest_major_city_km,212.27829617661496,-0.01898
distance_to_nearest_major_city_km,213.62605931194994,-0.01946
distance_to_nearest_major_city_km,215.46646137133564,-0.01907
distance_to_nearest_major_city_km,217.31698322592422,-0.01905
distance_to_nearest_major_city_km,221.47893430740618,-0.01683
distance_to_nearest_major_city_km,227.40630211457352,-0.01645
distance_to_nearest_major_city_km,228.39273448766573,-0.01642
