interaction,x,y,score
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,10,-0.04431
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,11,-0.04429
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,12,-0.0323
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,13,-0.03222
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,14,-0.03233
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,15,-0.03272
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,16,-0.03248
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,17,-0.01719
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,18,-0.01733
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,19,-0.01357
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,20,-0.00945
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,21,-0.00991
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,22,-0.0091
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,23,-0.00955
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,24,-0.00682
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,25,-0.0068
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,26,-0.00632
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,27,-0.00621
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,28,-0.00475
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,29,-0.00784
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,30,0.00197
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,31,0.00026
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,32,-0.00383
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,33,-0.00524
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,34,-0.00563
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,35,-0.00574
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,36,-0.00593
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,37,-0.00612
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,38,-0.00473
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,39,0.01486
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,40,0.01465
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,41,0.01244
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,42,0.01215
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,43,0.01208
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,44,0.01165
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,45,0.01201
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,46,0.01246
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,47,0.0131
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,48,0.01436
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,49,0.04556
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,50,0.04546
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,51,0.0494
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,52,0.04956
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,53,0.04506
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,54,0.04178
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,55,0.01224
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,56,0.01157
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,57,0.00689
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,58,0.00685
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,59,0.00678
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,60,0.00723
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,61,0.00732
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,0,-0.10994
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,1,-0.09721
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,2,-0.08516
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,3,-0.08513
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,4,-0.08008
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,5,-0.08035
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,6,-0.07862
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,7,-0.08004
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,8,-0.08125
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,9,-0.07666
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,10,-0.07628
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,11,-0.07575
