code,station_name,map_station,state_abbr,City,lat,lon,station_type,annual_ridership,match_method,has_heavy_rail,has_commuter_rail,has_light_rail,has_transit_bus,has_intercity_bus,has_air_connection,has_bikeshare,modes_served,is_metro_area,CBSA_TYPE,metro_pop,distance_to_nearest_major_city_km,num_nearby_stations,is_northeast_corridor,weekly_departures,num_routes_served,is_terminal,avg_dwell_time_sec,service_span_hours,avg_stop_sequence_pct,num_directions,avg_route_length_km,max_route_length_km,weekly_trips,pct_long_distance,pct_drove_alone,pct_public_transit,pct_rail_commute,pct_walked,pct_work_from_home,median_household_income,college_enrollment_15km
ALC,"Alliance, OH","Alliance, Ohio",OH,Alliance,40.921275,-81.092904,Platform only (no shelter),4580.0,coord(0.25km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,198909.0,193.48132803617773,0,0,28.0,1.0,0.0,0.0,22.566666666666663,0.5108695652173914,2.0,1906.2991455185656,1906.2991455185656,28.0,1.0,0.7940699009576171,0.0092028530541367,0.0001074703183949,0.0144236479951129,0.1045459944681067,65740.0,2579.0
ALD,"Alderson, WV","Alderson, West Virginia",WV,Alderson,37.724277,-80.644856,Platform only (no shelter),466.0,coord(0.02km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17700.0,278.2399729982267,7,0,22.0,1.0,0.0,0.0,17.033333333333335,0.50390625,2.0,1145.2593396084626,1145.2593396084626,22.0,1.0,0.8033356497567755,0.0090340514246004,0.0,0.0076441973592772,0.0315033588139911,54508.0,0.0
ALI,"Albion, MI","Albion, Michigan",MI,Albion,42.247196,-84.755814,Station Building (with waiting room),2668.0,coord(0.05km),0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,52035.0,140.19448787111594,4,0,48.0,1.0,0.0,32.0,13.8,0.6032634032634033,2.0,367.42038077740983,367.42038077740983,48.0,0.0,0.8039405964614345,0.0055799123156636,0.0,0.0206560729200963,0.071551111650233,60385.0,1354.0
ALN,"Alton, IL","Alton, Illinois",IL,Alton,38.921007,-90.157298,Station Building (with waiting room),75548.0,coord(2.67km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,319188.0,356.5158018367828,3,0,132.0,3.0,0.0,35.0,51.7,0.5279371332949921,2.0,2029.193089554087,2802.420687273947,132.0,0.6666666666666666,0.8027808413423665,0.0074759729005829,0.000181187962817,0.0085709784149992,0.1095635733417362,74800.0,4259.0
ALP,"Alpine, TX","Alpine, Texas",TX,Alpine,30.357302,-103.661513,Station Building (with waiting room),4207.0,coord(0.05km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8362.0,315.0479855755931,0,0,42.0,2.0,0.0,600.0,37.766666666666666,0.5528541226215645,2.0,2769.035463748684,2802.420687273947,42.0,1.0,0.7049145749841805,0.0,0.0,0.0461927863319974,0.0736131617802151,52612.0,1942.0
ALT,"Altoona, PA","Altoona, Pennsylvania",PA,Altoona,40.514475,-78.40162,Station Building (with waiting room),22164.0,coord(0.06km),0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,46227.0,204.55819095389165,4,0,28.0,1.0,0.0,240.0,7.216666666666667,0.5220588235294118,2.0,507.4388030603991,507.4388030603991,28.0,1.0,0.808613388593567,0.0064690512658798,0.0001621767726822,0.0337868276421299,0.0592305613118298,60594.0,2853.0
ALX,"Alexandria, VA","Alexandria, Virginia",VA,Alexandria,38.806503,-77.06233,Station Building (with waiting room),372327.0,coord(0.04km),1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,620427.0,10.083756059097803,10,0,679.0,7.0,0.0,128.49056603773585,34.61666666666667,0.5833077564364771,2.0,1139.7279197585744,1906.2991455185656,679.0,1.0,0.5024300713641211,0.12683537035518,0.0041731605282585,0.0249671889098515,0.2521122139283078,113638.0,100814.0
ALY,"Albany, OR","Albany, Oregon",OR,Albany,44.630464,-123.102774,Station Building (with waiting room),46161.0,coord(0.25km),0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,156248.0,104.50576987866413,2,0,42.0,2.0,0.0,120.0,28.95,0.5318007662835249,2.0,793.1318554277583,1544.1285924710774,42.0,0.5,0.762372280531035,0.0019983318273441,0.0001563911864878,0.0217731285188016,0.0996733161882254,73396.0,4881.0
AMS,"Amsterdam, NY","Amsterdam, New York",NY,Amsterdam,42.953719,-74.2195,Station Building (with waiting room),13737.0,coord(1.07km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,66041.0,247.95119248576617,4,0,49.0,2.0,0.0,45.0,7.85,0.5424616228070176,2.0,520.9657142158277,547.9926632110037,49.0,0.5,0.7665190354762225,0.0019684158725898,0.0,0.02509730237552,0.0789155818011005,62923.0,1761.0
ANA,"Anaheim, CA","Anaheim, California",CA,Anaheim,33.803803,-117.877308,Station Building (with waiting room),207870.0,coord(0.70km),0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3826423.0,43.690771227383074,15,0,231.0,1.0,0.0,89.1891891891892,23.65,0.5350199432433316,2.0,429.2130732768498,429.2130732768498,231.0,0.0,0.6941550453422167,0.0123382316119236,0.0017661723561366,0.0176271429568594,0.1659971477405097,113702.0,167828.0
ARB,"Ann Arbor, MI","Ann Arbor, Michigan",MI,Ann Arbor,42.287692,-83.743154,Station Building (with waiting room),150296.0,coord(0.08km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,115276.0,56.842409115917434,9,0,102.0,1.0,0.0,197.4193548387097,15.9,0.5389664099341518,2.0,367.42038077740983,367.42038077740983,102.0,0.0,0.619063770193165,0.0377194374087102,0.0002407041691056,0.0582722911207514,0.2030175549926968,87156.0,77529.0
ARD,"Ardmore, PA","Ardmore, Pennsylvania",PA,Ardmore,40.008278,-75.290399,Station Building (with waiting room),80900.0,coord(0.14km),0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1539313.0,12.45278199207652,18,1,421.0,1.0,0.0,15.0,16.966666666666665,0.516510655544269,2.0,249.7712699522004,249.7712699522004,421.0,0.0,0.6660238889100657,0.0304340319430648,0.0177272125942585,0.0200927842217493,0.2106928322058563,111521.0,163387.0
ARK,"Arkadelphia, AR","Arkadelphia, Arkansas",AR,Arkadelphia,34.113919,-93.053284,Station Building (with waiting room),1292.0,coord(0.09km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,35414.0,297.75894622039607,2,0,76.0,1.0,0.0,0.0,24.0,0.527594003385904,2.0,2802.420687273947,2802.420687273947,76.0,1.0,0.7549307595467898,0.0029374737725556,0.0,0.0665127989928661,0.0520352496852706,50985.0,3951.0
ARN,"Auburn, CA","Auburn, California",CA,Auburn,38.903638,-121.083187,Platform with Shelter,9348.0,coord(0.12km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,122294.0,170.90117885095322,5,0,38.0,1.0,1.0,0.0,14.45,0.5277777777777778,2.0,189.092304455608,189.092304455608,38.0,0.0,0.6992267270026091,0.0061053394159242,0.0006719548110389,0.0134285969268566,0.2016126915464935,114678.0,0.0
ASD,"Ashland, VA","Ashland, Virginia",VA,Ashland,37.759596,-77.481304,Platform with Shelter,42110.0,coord(0.05km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206977.0,132.06979812089963,4,0,237.0,1.0,0.0,57.30337078651685,27.0,0.5910425483946948,2.0,945.2247145706848,945.2247145706848,237.0,1.0,0.761892370146768,0.0019777245758301,0.0009368169043405,0.0099233198015336,0.1618958398390062,109504.0,9825.0
AST,"Aldershot, ON",,ON,Aldershot,43.313413,-79.855712,Station Building (with waiting room),,,,,,,,,,,,,62335.0,282.1901568790737,6,0,,,,,,,,,,,,,,,,,,0.0
ATL,"Atlanta, GA","Atlanta, Georgia",GA,Atlanta,33.799445,-84.392477,Station Building (with waiting room),85040.0,coord(0.07km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,432135.0,343.2181790216101,1,0,64.0,1.0,0.0,1651.578947368421,9.65,0.450926782196132,2.0,1884.3234310848925,1884.3234310848925,64.0,1.0,0.5892903719107185,0.0439797198074882,0.0010308025968364,0.0245302434266236,0.2610806812944165,91490.0,147317.0
ATN,"Anniston, AL","Anniston, Alabama",AL,Anniston,33.649112,-85.832145,Station Building (with waiting room),4338.0,coord(0.03km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36760.0,295.1573856499133,0,0,64.0,1.0,0.0,120.0,15.516666666666667,0.44376449144251,2.0,1884.3234310848925,1884.3234310848925,64.0,1.0,0.8511161129122183,0.0058644970780762,0.0,0.0083631032275383,0.0421872096144712,55826.0,0.0
ATO,"Atco, NJ",,NJ,Atco,39.783504,-74.907893,Platform with Shelter,,,,,,,,,,,,,1539313.0,28.799111563419668,18,1,,,,,,,,,,,,0.6892948116103934,0.0487859952699571,0.0106921154067084,0.0161510761441831,0.1365532486362501,86384.0,9037.0
AUS,"Austin, TX","Austin, Texas",TX,Austin,30.269449,-97.75694,Station Building (with waiting room),47030.0,coord(0.14km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,839714.0,1.285184539437611,2,0,88.0,1.0,0.0,750.0,33.93333333333333,0.5758192389006342,2.0,2802.420687273947,2802.420687273947,88.0,1.0,0.5973482262003506,0.0166947446442558,0.0002185602445702,0.0207211402057181,0.2717572650918564,97169.0,96732.0
BAL,"Baltimore, MD","Baltimore, Maryland",MD,Baltimore,39.307302,-76.615688,Station Building (with waiting room),1333185.0,coord(0.18km),0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,620889.0,1.8757970087424225,6,1,2314.0,8.0,0.0,139.75446428571428,38.11666666666667,0.5854228744819926,2.0,905.9135416012754,1884.3234310848925,2314.0,1.0,0.5683112201770294,0.1147525722137609,0.0080545759896925,0.0561846706114104,0.1589019263209244,59623.0,118560.0
BAM,"Bangor, MI","Bangor, Michigan",MI,Bangor,42.314519,-86.111646,Station Building (with waiting room),4038.0,coord(0.04km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,74679.0,134.02150285920476,10,0,14.0,1.0,0.0,60.0,14.3,0.6,2.0,201.03079227857077,201.03079227857077,14.0,0.0,0.782579746988681,0.0034501543490103,0.0001513225591671,0.0260274801767447,0.0874947037104291,66902.0,0.0
BAR,"Barstow, CA","Barstow, California",CA,Barstow,34.90482,-117.025435,Platform with Shelter,3300.0,coord(0.01km),0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,118134.0,146.306242143814,1,0,14.0,1.0,0.0,240.0,30.633333333333333,0.515625,2.0,2802.420687273947,2802.420687273947,14.0,1.0,0.7523177527674346,0.0090209543341766,0.0024123120371849,0.0145264051507484,0.0995110235095357,82184.0,3153.0
